num_threads,num_steps,time_serial,time_atomic,time_critical,time_monte_carlo_atomic,time_monte_carlo_critical,pi_serial,pi_atomic,pi_critical,pi_monte_carlo_atomic,pi_monte_carlo_critical
1,100000000,0.586138,1.5183,1.36695,2.4294,2.99743,3.1415926536,3.1415926536,3.1415926536,3.1416978836,3.1414201260
2,100000000,0.586164,5.97994,19.7035,5.09134,6.4091,3.1415926536,3.1415926536,3.1415926536,3.1416335106,3.1413388252
3,100000000,0.586625,6.90492,19.0201,14.779,18.9039,3.1415926536,3.1415926536,3.1415926536,3.1416015625,3.1413424015
4,100000000,0.584885,7.12089,28.2375,15.558,16.1621,3.1415926536,3.1415926536,3.1415926536,3.1416230202,3.1413471699
5,100000000,0.585264,13.0868,38.1755,31.8353,34.9876,3.1415926536,3.1415926536,3.1415926536,3.1416687965,3.1412591934
6,100000000,0.584794,9.97244,30.0229,46.099,49.9082,3.1415926536,3.1415926536,3.1415926536,3.1413724422,3.1412389278
7,100000000,0.584813,15.7986,43.754,35.2387,39.8366,3.1415926536,3.1415926536,3.1415926536,3.1417191029,3.1412470341
8,100000000,0.587092,16.3336,43.7254,21.4819,26.8271,3.1415926536,3.1415926536,3.1415926536,3.1416535378,3.1412472725
9,100000000,0.58625,16.7254,67.7609,68.3719,78.4005,3.1415926536,3.1415926536,3.1415926536,3.1416203976,3.1414368153
10,100000000,0.585403,16.2601,51.9704,42.9849,46.7815,3.1415926536,3.1415926536,3.1415926536,3.1413524151,3.1412477493
11,100000000,0.689377,19.687,90.0892,64.5949,68.2902,3.1415926536,3.1415926536,3.1415926536,3.1414520741,3.1413576603
12,100000000,0.585735,19.286,52.6917,26.8564,28.5271,3.1415926536,3.1415926536,3.1415926536,3.1415834427,3.1414444447
13,100000000,0.585792,20.1348,56.0921,23.4115,25.9498,3.1415926536,3.1415926536,3.1415926536,3.1415863037,3.1412940025
14,100000000,0.585508,18.8934,60.271,36.1986,39.4375,3.1415926536,3.1415926536,3.1415926536,3.1414127350,3.1411499977
15,100000000,0.585042,23.6377,62.7208,44.2798,47.7996,3.1415926536,3.1415926536,3.1415926536,3.1416246891,3.1411011219
16,100000000,0.585277,19.0791,89.7174,33.2013,38.2209,3.1415926536,3.1415926536,3.1415926536,3.1416709423,3.1412732601
17,100000000,0.585836,18.8704,70.2532,38.7124,41.4761,3.1415926536,3.1415926536,3.1415926536,3.1414823532,3.1411168575
18,100000000,0.585378,22.5928,67.9205,42.2563,46.6727,3.1415926536,3.1415926536,3.1415926536,3.1413609982,3.1411802769
19,100000000,0.58562,22.9437,79.1116,26.2847,28.6931,3.1415926536,3.1415926536,3.1415926536,3.1414771080,3.1413238049
20,100000000,0.584891,23.4141,115.427,70.2327,76.8753,3.1415926536,3.1415926536,3.1415926536,3.1417353153,3.1412189007
